Episode 1/100 | score 130 | recent mean 130.0 | exploration 100%
  Episode 2/100 | 500 decisions | 0 updates | 0.0 min
  Episode 2/100 | 1,000 decisions | 1 updates | 0.0 min
Episode 2/100 | score 460 | recent mean 295.0 | exploration 20%
  Episode 3/100 | 1,500 decisions | 126 updates | 0.1 min
Episode 3/100 | score 430 | recent mean 340.0 | exploration 20%
  Episode 4/100 | 2,000 decisions | 251 updates | 0.1 min
  Episode 4/100 | 2,500 decisions | 376 updates | 0.1 min
Episode 4/100 | score 700 | recent mean 430.0 | exploration 20%
  Episode 5/100 | 3,000 decisions | 501 updates | 0.2 min
Episode 5/100 | score 470 | recent mean 438.0 | exploration 20%
Episode 6/100 | score 240 | recent mean 405.0 | exploration 20%
  Episode 7/100 | 3,500 decisions | 626 updates | 0.2 min
Episode 7/100 | score 370 | recent mean 400.0 | exploration 20%
  Episode 8/100 | 4,000 decisions | 751 updates | 0.3 min
  Episode 8/100 | 4,500 decisions | 876 updates | 0.3 min
Episode 8/100 | score 1350 | recent mean 518.8 | exploration 20%
  Episode 9/100 | 5,000 decisions | 1,001 updates | 0.3 min
Episode 9/100 | score 300 | recent mean 494.4 | exploration 20%
  Episode 10/100 | 5,500 decisions | 1,126 updates | 0.3 min
Episode 10/100 | score 550 | recent mean 500.0 | exploration 20%
  Episode 11/100 | 6,000 decisions | 1,251 updates | 0.4 min
  Episode 11/100 | 6,500 decisions | 1,376 updates | 0.4 min
Episode 11/100 | score 1580 | recent mean 598.2 | exploration 20%
  Episode 12/100 | 7,000 decisions | 1,501 updates | 0.4 min
Episode 12/100 | score 550 | recent mean 594.2 | exploration 20%
  Episode 13/100 | 7,500 decisions | 1,626 updates | 0.5 min
Episode 13/100 | score 370 | recent mean 576.9 | exploration 20%
  Episode 14/100 | 8,000 decisions | 1,751 updates | 0.5 min
Episode 14/100 | score 1140 | recent mean 617.1 | exploration 20%
  Episode 15/100 | 8,500 decisions | 1,876 updates | 0.6 min
Episode 15/100 | score 690 | recent mean 622.0 | exploration 20%
  Episode 16/100 | 9,000 decisions | 2,001 updates | 0.6 min
Episode 16/100 | score 360 | recent mean 605.6 | exploration 20%
  Episode 17/100 | 9,500 decisions | 2,126 updates | 0.6 min
Episode 17/100 | score 1070 | recent mean 632.9 | exploration 20%
  Episode 18/100 | 10,000 decisions | 2,251 updates | 0.6 min
Episode 18/100 | score 500 | recent mean 625.6 | exploration 20%
  Episode 19/100 | 10,500 decisions | 2,376 updates | 0.7 min
Episode 19/100 | score 250 | recent mean 605.8 | exploration 20%
  Episode 20/100 | 11,000 decisions | 2,501 updates | 0.7 min
Episode 20/100 | score 1100 | recent mean 630.5 | exploration 20%
  Episode 21/100 | 11,500 decisions | 2,626 updates | 0.8 min
  Episode 21/100 | 12,000 decisions | 2,751 updates | 0.8 min
Episode 21/100 | score 1090 | recent mean 652.4 | exploration 20%
  Episode 22/100 | 12,500 decisions | 2,876 updates | 0.8 min
Episode 22/100 | score 510 | recent mean 645.9 | exploration 20%
  Episode 23/100 | 13,000 decisions | 3,001 updates | 0.8 min
Episode 23/100 | score 420 | recent mean 636.1 | exploration 20%
  Episode 24/100 | 13,500 decisions | 3,126 updates | 0.9 min
Episode 24/100 | score 280 | recent mean 621.2 | exploration 20%
  Episode 25/100 | 14,000 decisions | 3,251 updates | 0.9 min
Episode 25/100 | score 590 | recent mean 620.0 | exploration 20%
Separate demonstration score: 740.0
After 25 training games | 4× playback | 2 plays | first 20s of game time

Using the inline preview. Local popup helper unavailable: No module named 'pacman_player'
  Episode 26/100 | 14,500 decisions | 3,376 updates | 1.0 min
Episode 26/100 | score 600 | recent mean 638.8 | exploration 20%
  Episode 27/100 | 15,000 decisions | 3,501 updates | 1.0 min
Episode 27/100 | score 650 | recent mean 646.4 | exploration 20%
  Episode 28/100 | 15,500 decisions | 3,626 updates | 1.1 min
  Episode 28/100 | 16,000 decisions | 3,751 updates | 1.1 min
Episode 28/100 | score 1350 | recent mean 683.2 | exploration 20%
  Episode 29/100 | 16,500 decisions | 3,876 updates | 1.2 min
Episode 29/100 | score 350 | recent mean 669.2 | exploration 20%
  Episode 30/100 | 17,000 decisions | 4,001 updates | 1.2 min
Episode 30/100 | score 350 | recent mean 664.4 | exploration 20%
  Episode 31/100 | 17,500 decisions | 4,126 updates | 1.2 min
Episode 31/100 | score 510 | recent mean 675.2 | exploration 20%
  Episode 32/100 | 18,000 decisions | 4,251 updates | 1.2 min
Episode 32/100 | score 490 | recent mean 680.0 | exploration 20%
  Episode 33/100 | 18,500 decisions | 4,376 updates | 1.3 min
Episode 33/100 | score 400 | recent mean 642.0 | exploration 20%
  Episode 34/100 | 19,000 decisions | 4,501 updates | 1.3 min
Episode 34/100 | score 700 | recent mean 658.0 | exploration 20%
  Episode 35/100 | 19,500 decisions | 4,626 updates | 1.4 min
Episode 35/100 | score 340 | recent mean 649.6 | exploration 20%
  Episode 36/100 | 20,000 decisions | 4,751 updates | 1.4 min
Episode 36/100 | score 710 | recent mean 614.8 | exploration 20%
  Episode 37/100 | 20,500 decisions | 4,876 updates | 1.4 min
Episode 37/100 | score 290 | recent mean 604.4 | exploration 20%
  Episode 38/100 | 21,000 decisions | 5,001 updates | 1.5 min
Episode 38/100 | score 330 | recent mean 602.8 | exploration 20%
  Episode 39/100 | 21,500 decisions | 5,126 updates | 1.5 min
Episode 39/100 | score 170 | recent mean 564.0 | exploration 20%
  Episode 40/100 | 22,000 decisions | 5,251 updates | 1.5 min
Episode 40/100 | score 880 | recent mean 571.6 | exploration 20%
  Episode 41/100 | 22,500 decisions | 5,376 updates | 1.6 min
Episode 41/100 | score 840 | recent mean 590.8 | exploration 20%
  Episode 42/100 | 23,000 decisions | 5,501 updates | 1.6 min
Episode 42/100 | score 330 | recent mean 561.2 | exploration 20%
  Episode 43/100 | 23,500 decisions | 5,626 updates | 1.6 min
Episode 43/100 | score 280 | recent mean 552.4 | exploration 20%
  Episode 44/100 | 24,000 decisions | 5,751 updates | 1.7 min
Episode 44/100 | score 650 | recent mean 568.4 | exploration 20%
  Episode 45/100 | 24,500 decisions | 5,876 updates | 1.7 min
  Episode 45/100 | 25,000 decisions | 6,001 updates | 1.7 min
Episode 45/100 | score 1300 | recent mean 576.4 | exploration 20%
  Episode 46/100 | 25,500 decisions | 6,126 updates | 1.7 min
  Episode 46/100 | 26,000 decisions | 6,251 updates | 1.8 min
Episode 46/100 | score 870 | recent mean 567.6 | exploration 20%
  Episode 47/100 | 26,500 decisions | 6,376 updates | 1.8 min
Episode 47/100 | score 510 | recent mean 567.6 | exploration 20%
  Episode 48/100 | 27,000 decisions | 6,501 updates | 1.8 min
Episode 48/100 | score 640 | recent mean 576.4 | exploration 20%
  Episode 49/100 | 27,500 decisions | 6,626 updates | 1.9 min
Episode 49/100 | score 710 | recent mean 593.6 | exploration 20%
  Episode 50/100 | 28,000 decisions | 6,751 updates | 1.9 min
  Episode 50/100 | 28,500 decisions | 6,876 updates | 1.9 min
Episode 50/100 | score 1270 | recent mean 620.8 | exploration 20%
Separate demonstration score: 450.0
After 50 training games | 4× playback | 2 plays | first 20s of game time

Using the inline preview. Local popup helper unavailable: No module named 'pacman_player'
  Episode 51/100 | 29,000 decisions | 7,001 updates | 2.0 min
Episode 51/100 | score 950 | recent mean 634.8 | exploration 20%
  Episode 52/100 | 29,500 decisions | 7,126 updates | 2.1 min
  Episode 52/100 | 30,000 decisions | 7,251 updates | 2.1 min
Episode 52/100 | score 900 | recent mean 644.8 | exploration 20%
Episode 53/100 | score 440 | recent mean 608.4 | exploration 20%
  Episode 54/100 | 30,500 decisions | 7,376 updates | 2.1 min
  Episode 54/100 | 31,000 decisions | 7,501 updates | 2.2 min
Episode 54/100 | score 410 | recent mean 610.8 | exploration 20%
  Episode 55/100 | 31,500 decisions | 7,626 updates | 2.2 min
Episode 55/100 | score 1310 | recent mean 649.2 | exploration 20%
  Episode 56/100 | 32,000 decisions | 7,751 updates | 2.2 min
Episode 56/100 | score 640 | recent mean 654.4 | exploration 20%
  Episode 57/100 | 32,500 decisions | 7,876 updates | 2.3 min
  Episode 57/100 | 33,000 decisions | 8,001 updates | 2.3 min
Episode 57/100 | score 2650 | recent mean 740.8 | exploration 20%
