"episode","score","recent_mean","exploration"
"1","130","130","1"
"2","460","295","0.2"
"3","430","340","0.2"
"4","700","430","0.2"
"5","470","438","0.2"
"6","240","405","0.2"
"7","370","400","0.2"
"8","1350","518.8","0.2"
"9","300","494.4","0.2"
"10","550","500","0.2"
"11","1580","598.2","0.2"
"12","550","594.2","0.2"
"13","370","576.9","0.2"
"14","1140","617.1","0.2"
"15","690","622","0.2"
"16","360","605.6","0.2"
"17","1070","632.9","0.2"
"18","500","625.6","0.2"
"19","250","605.8","0.2"
"20","1100","630.5","0.2"
"21","1090","652.4","0.2"
"22","510","645.9","0.2"
"23","420","636.1","0.2"
"24","280","621.2","0.2"
"25","590","620","0.2"
"26","600","638.8","0.2"
"27","650","646.4","0.2"
"28","1350","683.2","0.2"
"29","350","669.2","0.2"
"30","350","664.4","0.2"
"31","510","675.2","0.2"
"32","490","680","0.2"
"33","400","642","0.2"
"34","700","658","0.2"
"35","340","649.6","0.2"
"36","710","614.8","0.2"
"37","290","604.4","0.2"
"38","330","602.8","0.2"
"39","170","564","0.2"
"40","880","571.6","0.2"
"41","840","590.8","0.2"
"42","330","561.2","0.2"
"43","280","552.4","0.2"
"44","650","568.4","0.2"
"45","1300","576.4","0.2"
"46","870","567.6","0.2"
"47","510","567.6","0.2"
"48","640","576.4","0.2"
"49","710","593.6","0.2"
"50","1270","620.8","0.2"
"51","950","634.8","0.2"
"52","900","644.8","0.2"
"53","440","608.4","0.2"
"54","410","610.8","0.2"
"55","1310","649.2","0.2"
"56","640","654.4","0.2"
"57","2650","740.8","0.2"
"58","580","748","0.2"
"59","1520","780.8","0.2"
"60","1190","814.8","0.2"
"61","480","805.6","0.2"
"62","810","826.4","0.2"
"63","1130","858.4","0.2"
"64","540","873.2","0.2"
"65","450","856","0.2"
"66","370","837.2","0.2"
"67","930","861.2","0.2"
"68","650","876","0.2"
"69","460","868.4","0.2"
"70","790","848","0.2"
"71","630","838.4","0.2"
"72","380","833.2","0.2"
"73","580","830.8","0.2"
"74","790","834","0.2"
"75","420","800","0.2"
"76","2310","854.4","0.2"
"77","1290","870","0.2"
"78","1410","908.8","0.2"
"79","640","918","0.2"
"80","410","882","0.2"
"81","540","878","0.2"
"82","450","790","0.2"
"83","810","799.2","0.2"
"84","770","769.2","0.2"
"85","510","742","0.2"
"86","400","738.8","0.2"
"87","750","736.4","0.2"
"88","1030","732.4","0.2"
"89","250","720.8","0.2"
"90","390","718.4","0.2"
"91","390","719.2","0.2"
"92","2000","762","0.2"
"93","390","751.6","0.2"
"94","490","752.8","0.2"
"95","1030","762.4","0.2"
"96","980","776.4","0.2"
"97","360","775.6","0.2"
"98","1440","810","0.2"
"99","600","802.4","0.2"
"100","570","808.4","0.2"
